Ref,Val,Package,PosX,PosY,Rot,Side
"C1","30p","C_0603",58.000000,-89.700000,180.000000,top
"C2","47p","C_0603",58.000000,-95.200000,180.000000,top
"C3","47p","C_0603",58.000000,-105.000000,180.000000,top
"C4","30p","C_0603",58.000000,-109.500000,180.000000,top
"C5","100n","C_0603",97.000000,-83.200000,180.000000,top
"C6","10u","C_0805",113.800000,-122.800000,-90.000000,top
"C7","100n","C_0603",111.900000,-123.200000,-90.000000,top
"C8","100n","C_0603",90.400000,-122.300000,-90.000000,top
"C9","10u","C_0805",92.400000,-122.300000,-90.000000,top
"C10","100n","C_0603",95.300000,-98.500000,180.000000,top
"C11","100n","C_0603",115.600000,-95.400000,-90.000000,top
"C12","100n","C_0603",119.400000,-99.300000,90.000000,top
"C13","1u","C_0603",111.900000,-91.200000,180.000000,top
"C14","100n","C_0603",97.000000,-84.800000,180.000000,top
"C15","470u","c_elec_8x10.5",124.100000,-105.400000,180.000000,top
"C16","100n","C_0603",99.300000,-82.500000,90.000000,top
"C17","100n","C_0603",97.100000,-90.200000,90.000000,top
"C18","100n","C_0603",97.100000,-93.400000,-90.000000,top
"C19","100n","C_0603",102.600000,-93.400000,-90.000000,top
"C20","100n","C_0603",102.600000,-90.300000,90.000000,top
"CN1","60312202114509","WR-SMA-PCB",61.300000,-77.000000,180.000000,top
"CN2","ARDUINO","ARDUINO",54.700000,-130.000000,0.000000,top
"CN3","CON_KLINKE3","1503_07",141.500000,-95.000000,-90.000000,top
"CN4","CON_KLINKE3","1501_03",141.500000,-106.800000,-90.000000,top
"CN5","CONN_01X03","Pin_Header_Straight_1x03",56.700000,-113.960000,0.000000,top
"CN6","CONN_01X02","Pin_Header_Straight_1x02",116.700000,-101.300000,180.000000,top
"CN7","691322310002","WR-TBL_691322310002",61.600000,-122.100000,0.000000,top
"D1","Led_red","LED_0603",137.000000,-84.200000,0.000000,top
"D2","Led_yellow","LED_0603",137.000000,-87.800000,0.000000,top
"D3","Led_green","LED_0603",137.000000,-80.800000,0.000000,top
"D4","BAT46ZFILM","SOD-123",115.600000,-86.100000,90.000000,top
"L1","744912156","WE-CAIR_4248",64.400000,-91.800000,-90.000000,top
"L2","744912156","WE-CAIR_4248",63.500000,-99.600000,180.000000,top
"L3","744912156","WE-CAIR_4248",64.500000,-107.300000,-90.000000,top
"Q1","2N7002","SOT-23",95.500000,-116.500000,90.000000,top
"Q2","2N7002","SOT-23",95.500000,-111.300000,90.000000,top
"Q3","2N7002","SOT-23",95.500000,-106.100000,90.000000,top
"R1","1k","R_0603",135.000000,-82.500000,180.000000,top
"R2","4k7","R_0603",98.000000,-115.200000,90.000000,top
"R3","100","R_0603",98.500000,-117.400000,180.000000,top
"R4","DNI","R_0603",99.900000,-95.800000,180.000000,top
"R5","DNI","R_0603",100.000000,-87.700000,180.000000,top
"R6","1k","R_0603",135.000000,-86.000000,180.000000,top
"R7","1k","R_0603",135.000000,-79.000000,180.000000,top
"R8","1k","R_0603",95.300000,-108.700000,180.000000,top
"R9","100","R_0603",98.500000,-112.200000,180.000000,top
"R10","1k","R_0603",95.300000,-103.500000,180.000000,top
"R11","100","R_0603",98.500000,-107.000000,180.000000,top
"R12","4k7","R_0603",113.500000,-85.700000,90.000000,top
"R13","4k7","R_0603",102.700000,-82.500000,-90.000000,top
"R14","1k","R_0603",101.000000,-82.500000,90.000000,top
"R15","121","R_0603",102.300000,-118.800000,0.000000,top
"R16","1k","R_0603",95.300000,-100.100000,0.000000,top
"R17","300","R_0603",102.300000,-117.100000,180.000000,top
"R18","100","R_0603",60.900000,-118.800000,180.000000,top
"R19","20k","R_0603",108.200000,-95.900000,90.000000,top
"R20","20k","R_0603",98.200000,-98.500000,180.000000,top
"R21","4k7","R_0603",115.600000,-92.600000,90.000000,top
"R22","100","R_0603",115.600000,-89.900000,90.000000,top
"R23","2k","R_0603",121.100000,-99.400000,90.000000,top
"R24","1k","R_0603",118.700000,-112.900000,-90.000000,top
"R25","1k","R_0603",121.900000,-112.900000,-90.000000,top
"R26","1k","R_0603",124.400000,-112.900000,-90.000000,top
"R27","4k7","R_0603",124.500000,-99.300000,90.000000,top
"R28","DNI","R_0603",64.400000,-91.800000,90.000000,top
"R29","DNI","R_0603",63.500000,-99.600000,0.000000,top
"R30","DNI","R_0603",64.500000,-107.300000,90.000000,top
"R31","1k","R_0603",98.200000,-100.100000,0.000000,top
"R32","DNI","R_0603",119.300000,-81.800000,-90.000000,top
"R33","4k7","R_0603",98.000000,-110.000000,90.000000,top
"R34","4k7","R_0603",98.000000,-104.800000,90.000000,top
"R35","100k","R_0603",71.150000,-123.100000,180.000000,top
"R36","20k","R_0603",67.500000,-123.100000,180.000000,top
"S1","SW_DIP_x1","dip_1-300",122.400000,-83.000000,0.000000,top
"SW1","TAST_HOR","WE_4312x6xxx7x6",129.000000,-80.600000,180.000000,top
"SW2","ALPS_EC11E","ALPS_EC11E",131.000000,-121.800000,-90.000000,top
"U1","DRA818","DRA818",81.000000,-100.700000,0.000000,top
"U2","LT1085","TO-263-3Lead",109.900000,-117.600000,90.000000,top
"U3","LM4871","SOIC-8_3.9x4.9mm_Pitch1.27mm",112.000000,-95.900000,-90.000000,top
"U4","SN74LVC1T45","SOT-23-6",99.900000,-93.400000,0.000000,top
"U5","SN74LVC1T45","SOT-23-6",99.900000,-90.200000,180.000000,top
